id,phase1_dps,phase2_dps,phase3_dps,FK_player_id
755,37388.47,39703.74,21334.02,Rationale.1527
756,32683.86,32051.3,16480.36,Mia.5386
757,20855.24,21248.2,9458.56,Partition.7069
758,15721.33,10493.79,11166.19,Raw Business.8469
759,15376.05,12436.23,5049.41,CloverXuan.8620
760,3030.32,1922.2,1232.03,rbloc.3826
761,18601.02,9139.26,0.0,socmax.8569
762,3250.14,3343.29,3658.46,KitLongridge.8346
763,33132.25,34610.17,36978.51,Leo.3184
764,24998.7,26967.52,26028.29,Alex.8452
765,18715.55,20291.88,22634.26,CyberTwigg.1058
766,29705.59,30002.05,31004.53,Landil.9013
767,1965.78,2256.34,2264.27,Zarion.6912
768,9654.29,19716.31,0.0,bonkerslittlealien.2673
769,22577.42,21731.78,24267.11,TidalPanda.5870
770,20126.47,15932.92,0.0,Entropy.1938
771,13955.57,15105.45,6041.86,Warotrix.9124
772,7377.24,6550.66,1762.88,Maze.6739
773,24805.22,22026.04,0.0,Kiyomi.3692
774,19547.69,21151.11,0.0,Clodomir.8014
775,20732.15,18795.04,923.39,miniOblics.1576
776,11056.99,4566.55,2713.22,squalid.4780
777,21509.77,26192.59,8475.25,geronimo.8054
778,620.14,1150.89,13.56,darkestbrezel.1685
779,2760.23,4338.52,0.0,funkyflavour.1806
780,17339.19,18310.25,10664.07,VerVes.2304
781,3271.03,4483.19,4556.95,gppower.1348
782,41853.45,43674.93,41424.74,TheSinisterBlade.3271
783,32059.93,35528.31,41376.3,Devencire.6108
784,14543.89,16732.56,19340.32,Oni Tabris.9642
785,31309.98,26541.33,40995.36,REMagic.8937
786,3697.78,3027.32,2995.01,Eneiristil.3970
787,10416.43,9729.44,16442.66,KompetenzElle.6431
788,15667.63,15047.73,17861.89,Asharddo.9712
789,20829.95,20214.18,23189.08,Agile Emily.9251
790,11670.27,13094.28,14021.96,Angvard.4570
791,31038.39,27198.61,29530.67,Equelz.8561
792,4106.83,3780.48,3293.67,BlackHawkDown.7154
793,19617.61,20091.44,17481.25,malherbmalsuessmalsauer.7964
794,21214.73,16310.24,0.0,Space Farmer.4723
795,32223.37,29700.96,18089.16,PzK.9716
796,25185.22,21300.11,28650.46,Artemis.7309
797,2402.62,3602.03,3046.1,BoulettenBob.5748
798,32444.27,30530.19,32852.44,Lovele.1597
799,34873.0,29457.17,37917.96,Inthra.1675
800,17591.07,19996.19,15466.52,Ayras.1543
801,4753.13,3055.5,4064.44,GingerMeTimbers.7045
802,22212.8,19705.66,20316.97,Randoman.2037
803,17835.83,16682.29,14131.54,RavenDreams.4107
804,29431.02,35014.23,35120.42,illyria.6140
805,20221.5,16360.68,14968.78,Real Raven.5314
806,21598.98,21128.42,19988.76,Crix.3910
807,20961.1,23986.61,28964.23,JGrave.6748
808,11718.83,10937.04,9332.4,DazedKitsune.6073
809,1931.57,1807.31,1891.54,JesterXIII.9380
810,17787.02,16960.05,16432.82,Sindil.6015
811,3127.17,3119.21,1059.57,Deathe.4028
812,12124.05,7057.3,949.13,Darkwolf.6520
813,21599.83,18277.3,9670.65,leapcow.1874
814,23237.96,22560.96,121.74,gamerfcapuno.1670
815,20638.94,18099.54,75.22,germanater.4571
816,4120.76,3036.24,1533.91,Mukluk.9082
